Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
General Inventory,Sell / Lot Candidate,High,0,10,35,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",14A,14,A,L.A. Woman,David Aja Regular Cover,Marvel Comics,Hawkeye,Modern,"Nov 27, 2013",Jan 2014,Jan 2014,75960607815801411,1,,9.0,2.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/1a/1a_338814_0_LAWoman.jpg,2f493efdf732476f93ab9b79757c430a,338814,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1901
General Inventory,Sell / Lot Candidate,High,0,10,35,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",15A,15,A,Fun & Games,David Aja Regular Cover,Marvel Comics,Hawkeye,Modern,"Feb 26, 2014",Apr 2014,Apr 2014,75960607815801511,1,,14.0,2.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/5b/5b_341899_0_FunGames.jpg,234a1ac021a047b0a174e031baa6976b,341899,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1902
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",7A,7,A,,David Aja Regular Cover,Marvel Comics,Hawkeye,Modern,"Jan 30, 2013",Mar 2013,Mar 2013,75960607815800711,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a2/a2_323057_0_HawkeyeVol47.jpg,f796598d52b643b49f94fcd831520ecb,323057,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1903
General Inventory,Sell / Lot Candidate,High,10,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",8A,8,A,My Bad Penny,David Aja Regular Cover,Marvel Comics,Hawkeye,Modern,"Feb 27, 2013",Apr 2013,Apr 2013,75960607815800811,1,High Value Bin,0.0,2.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e2/e2_325451_0_HawkeyeVol48.jpg,7960a8723c844cb1bcca7e204f44a644,325451,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1904
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",17,17,,The MBC Wintertime Winter Friends Winter Fun Special,,Marvel Comics,Hawkeye,Modern,"Mar 12, 2014",May 2014,May 2014,75960607815801711,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d9/d9_355459_0_HawkeyeVol417.jpg,6c8a405572bb451a836f9eacfa95a31d,355459,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1905
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",18,18,,,,Marvel Comics,Hawkeye,Modern,"Mar 26, 2014",May 2014,May 2014,75960607815801811,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/3f/3f_358377_0_HawkeyeVol418.jpg,9265dd8cef7e45ea9f66b34e1b0e1aa1,358377,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1906
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4",19,19,,The Stuff What Don't Get Spoke,,Marvel Comics,Hawkeye,Modern,"Jul 30, 2014",Sep 2014,Sep 2014,75960607815801911,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f1/f1_361658_0_.jpg,e0b2e51497a44892a78690411f6dfec6,361658,45404,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1907
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Avengers Origins: Ant-Man and Wasp,1,1,,,,Marvel Comics,,Modern,"Nov 02, 2011",Jan 2012,Jan 2012,75960607252100111,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b0/b0_291884_0_.jpg,b66558040fa3456b824194251460cec0,291884,42302,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1908
General Inventory,Sell / Lot Candidate,High,8,22,35,No,1,No,No,No,Yes,"Assumed NM, not verified",Ant-Man & Wasp,1,1,,,,Marvel Comics,,Modern,"Nov 10, 2010",Jan 2011,Jan 2011,75960607434100111,1,,24.0,3.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/3b/3b_258454_0_.jpg,1562dfc3273d4f789231d956deecb267,258454,35683,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1911
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,12,12,,The End is the Beginning,,Marvel Comics,,Modern,Nov 2007,Nov 2007,Nov 2007,75960605811201211,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ee/ee_162158_0_TheEndistheBeginning.jpg,ec731031c51f431ab5ab17fac83f0d7a,162158,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1912
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,11,11,,Redeemed,,Marvel Comics,,Modern,Oct 2007,Oct 2007,Oct 2007,75960605811201111,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/de/de_157699_0_Redeemed.jpg,d12b042c590543eda28b6aa8376066a3,157699,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1913
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,10,10,,World War Hulk,,Marvel Comics,,Modern,Sep 2007,Sep 2007,Sep 2007,75960605811201011,1,,0.0,2.99,2.99,,No,,,,World War Hulk,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/97/97_155176_0_WorldWarHulk.jpg,1ddf6a9004ea421a8b8c85b08d81535f,155176,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1914
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,9,9,,Love's Lonely Embrace,,Marvel Comics,,Modern,Aug 2007,Aug 2007,Aug 2007,75960605811200911,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/fc/fc_153783_0_LovesLonelyEmbrace.jpg,dbd42ff8c71740b99c3f5f2d48b69a6c,153783,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1915
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,8,8,,Dirty Deeds,,Marvel Comics,,Modern,Jul 2007,Jul 2007,Jul 2007,75960605811200811,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/71/71_150273_0_DirtyDeeds.jpg,75ad4bf4fc49439ab94ee82145e67f0f,150273,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1916
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,6,6,,Endgame,,Marvel Comics,,Modern,May 2007,May 2007,May 2007,75960605811200611,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/da/da_144872_0_Endgame.jpg,fadf7b18890d4c11a10128eda663a6bf,144872,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1917
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,5,5,,Confrontation,,Marvel Comics,,Modern,Apr 2007,Apr 2007,Apr 2007,75960605811200511,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/80/80_143169_0_Confrontation.jpg,69dcc5b22e204aeb8a3e7355380c5b07,143169,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1918
General Inventory,Sell / Lot Candidate,High,18,22,45,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 2",1,1,,Shafted,,Marvel Comics,Hawkeye,Modern,Jan 1994,Jan 1994,Jan 1994,75960601644000111,1,High Value Bin,30.0,1.75,0.0,,No,,,,,Adventure,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/01/01_51676_0_Shafted.jpg,877f23f1ec8e4d3a8093fa8b9988069b,51676,4419,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1919
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Hawkeye, Vol. 4 Annual",1,1,,West Coast Avenger,,Marvel Comics,Hawkeye,Modern,"Jul 24, 2013",Sep 2013,Sep 2013,75960607932200111,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/93/93_335147_0_WestCoastAvenger.jpg,faefb299e9fb4827bac602f3a0bd9b74,335147,49937,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1920
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Thor And The Mighty Avengers,1,1,,,,Marvel Comics,,Modern,"Oct 02, 2013",Dec 2013,Dec 2013,75960608011300111,1,,0.0,7.99,7.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ca/ca_345060_0_ThorAndTheMightyAvengers1.jpg,bd25492718e24458823477e5463c088e,345060,51456,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1924
General Inventory,Sell / Lot Candidate,High,8,22,45,No,1,No,No,No,Yes,"Assumed NM, not verified",Thor: God of Thunder,15,15,,"Part Three: ""Bury My Heart in Jotunheim""",,Marvel Comics,Thor,Modern,"Nov 13, 2013",Jan 2014,Jan 2014,75960607913101511,1,"Thor, Unity, Venom, WW",38.0,3.99,0.0,,No,,,The Accursed,,Action; Adventure; Fantasy; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ce/ce_348201_0_ThorGodofThunder15.jpg,73d8d6e23682436198974e712a35b567,348201,47240,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1925
Sci-Fi,Inventory Review,Medium,33,12,35,No,1,No,No,No,Yes,"Assumed NM, not verified",The Star Wars,1A,1,A,,Nick Runge Regular Cover,Dark Horse Comics,Star Wars,Modern,"Sep 04, 2013",Sep 2013,Sep 2013,76156822824300111,1,28,44.0,3.99,0.0,,No,,,,,Action; Adventure; Science Fiction,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/31/31_342197_0_.jpg,de9da601710044ec88b5793c71a685a0,342197,50995,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1926
Sci-Fi,Verify then Lot,High,25,0,20,No,1,No,No,No,Yes,"Assumed NM, not verified",The Black Bat,3A,3,A,,,Dynamite Entertainment,,Modern,"Jul 03, 2013",2013,2013,72513020461503011,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e9/e9_335763_0_.jpg,c6bd644872a34f8d8aadec7d5eedf644,335763,49346,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1927
Sci-Fi,Verify then Lot,High,25,0,20,No,1,No,No,No,Yes,"Assumed NM, not verified",The Black Bat,2A,2,A,,Jae Lee Cover,Dynamite Entertainment,,Modern,"Jun 05, 2013",Jun 2013,Jun 2013,72513020461502011,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/97/97_333633_0_.jpg,e984c650b4e54a45a4d2052480783b91,333633,49346,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1928
Sci-Fi,Inventory Review,Medium,33,22,55,No,1,No,No,No,Yes,"Assumed NM, not verified",FBP: Federal Bureau of Physics,1A,1,A,Part One,Original Collider Title,DC Comics,,Modern,"Jul 10, 2013",Sep 2013,Sep 2013,76194130793000111,1,,32.0,2.99,0.0,,No,,,The Paradigm Shift,,Action; Adventure; Mature; Science Fiction,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6a/6a_345974_0_PartOne.jpg,3badd6595e8a431ead2cd35ea414956f,345974,50437,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1929
Sci-Fi,Verify then Lot,High,25,0,20,No,1,No,No,No,Yes,"Assumed NM, not verified",The Black Bat,1I,1,I,,Cute Cover 1:10,Dynamite Entertainment,,Modern,"May 08, 2013","May 08, 2013","May 08, 2013",72513020461501091,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/55/55_331576_0_.jpg,b2b1bc7178d1403bbc9ddbce427959f7,331576,49346,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1930
Sci-Fi,Verify then Lot,High,25,0,20,No,1,No,No,No,Yes,"Assumed NM, not verified",Kirby: Genesis: Dragonsbane,4,4,,,,Dynamite Entertainment,,Modern,"Jun 05, 2013","Jun 05, 2013","Jun 05, 2013",72513018604100411,1,,0.0,3.99,3.99,,No,,,,,Fantasy; Science Fiction; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/67/67_301720_0_KirbyGenesisDragonsbane4.jpg,1c95e690139a4cf38e26d0ef8b681a1a,301720,43067,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1931
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,4,4,,The Samovar of Shooshnipoor; The Weapon; Dr. Broca von Bitelbaum,,Kitchen Sink Press,,Modern,Jun 1998,Jun 1998,Jun 1998,9780878166138,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f8/f8_112709_0_TheSamovarofShooshnipoorTheWea.jpg,5d490ef6e0034c2da823ca73c5b025d3,112709,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1932
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,3,3,,Last Night I Dreamed of Dr. Cobra; Ellen's Stalker,,Kitchen Sink Press,,Modern,May 1998,May 1998,May 1998,9780878166121,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/5c/5c_112708_0_LastNightIDreamedofDrCobraElle.jpg,82ee8671447249aaa8e45277cb30d3de,112708,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1933
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,2,2,,The Return of Mink Stole; Sunday in the Park with St. George; Spinx the Jinx in the Game of Life,,Kitchen Sink Press,,,Apr 1998,Apr 1998,Apr 1998,9780878166114,1,,0.0,3.5,3.5,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bc/bc_112704_0_TheReturnofMinkStoleSundayinth.jpg,4eb0b027505d45a5a1e38c8a183736e4,112704,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,Canada,English,No,1934
General Inventory,Sell / Lot Candidate,High,8,12,25,No,1,No,No,No,Yes,"Assumed NM, not verified",Spirit: The New Adventures,1,1,,,,Kitchen Sink Press,,,1997,1997,1997,9780878166107,1,,28.0,3.5,0.0,,No,,,,,Adventure; Crime,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/1e/1e_140432_0_.jpg,5b435b00eedf4571801876ddbf080e73,140432,9806,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,,English,No,1935
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Solo Avengers,15,15,,The Awesome Attackoid,,Marvel Comics,,Modern,Dec 1989,Dec 1989,Dec 1989,07148602651814,1,,0.0,0.75,0.75,,No,,,,,Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e8/e8_110333_0_SoloAvengers15.jpg,aee4ebb069a14ea98d0b65bef02afe0d,110333,9577,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1936
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",The Irredeemable Ant-Man,7,7,,Uninvited,,Marvel Comics,,Modern,Jun 2007,Jun 2007,Jun 2007,75960605811200711,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6e/6e_146451_0_Uninvited.jpg,551f278315814d1898f56f1f9e372400,146451,12920,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1937
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,Yes,Yes,"Assumed NM, not verified",Protectors,5,5,,,,,,,,,,07099233244105,1,,0.0,0.0,0.0,,No,,,,,,Raw,0.0,NM assumed,,,,64cddbae7c434e5f977922d26bb321f7,0,0,2021-05-29,2026-07-04,,In Collection,My comic collection,No,,,No,0
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Punk Rock Jesus,5,5,,Disciples,,DC Comics,,Modern,"Nov 14, 2012",Jan 2013,Jan 2013,76194130323900511,1,,0.0,2.99,2.99,,No,,,,,Mature,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/7f/7f_318240_0_PunkRockJesus5.jpg,d0f636830f544c55a02035ed6013cb4b,318240,45072,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1938
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Punk Rock Jesus,6,6,,Revelations,,DC Comics,,Modern,"Jan 02, 2013",Feb 2013,Feb 2013,76194130323900611,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Drama; Mature,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/27/27_320651_0_PunkRockJesus6.jpg,613f86bd5bd84e7aa5cea36dd0e66008,320651,45072,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1939
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Punk Rock Jesus,1,1,,Conception,,DC Comics,,Modern,"Jul 11, 2012",Sep 2012,Sep 2012,76194130323900111,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Mature,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d7/d7_306856_0_PunkRockJesus1.jpg,6c82bab034ca4e62a736322a98e56a94,306856,45072,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1940
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Punk Rock Jesus,2,2,,Genesis,,DC Comics,,Modern,"Aug 08, 2012",Oct 2012,Oct 2012,76194130323900211,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Mature,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a1/a1_309061_0_PunkRockJesus2.jpg,eae59180b5b44908a25421a4cbdaa7d7,309061,45072,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1941
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Punk Rock Jesus,3,3,,Exodus,,DC Comics,,Modern,"Sep 12, 2012",Nov 2012,Nov 2012,76194130323900311,1,,0.0,2.99,2.99,,No,,,,,Action; Adventure; Mature,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/45/45_312121_0_PunkRockJesus3.jpg,b2ce5fee48054e6895ea8e798901f4f1,312121,45072,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1942
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,5A,5,A,,Frank Quitely Regular Cover,DC Comics,,Modern,"Jun 26, 2013",Aug 2013,Aug 2013,76194131442600511,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/48/48_329312_0_.jpg,0acafaf89451410b86c9a42408b66841,329312,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1943
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,4A,4,A,,Ivan Reis Regular Cover,DC Comics,,Modern,"Feb 27, 2013",Jul 2013,Jul 2013,76194131442600411,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b2/b2_325663_0_.jpg,fab89cb251684b4395a2973013c33949,325663,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1944
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,3A,3,A,,Massimo Carnevale Regular Cover,DC Comics,,Modern,"Jan 30, 2013",Jun 2013,Jun 2013,76194131442600311,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6e/6e_323263_0_DjangoUnchained3A.jpg,80e62d418f6446fe8a5657c25f4d69a3,323263,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1945
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,2A,2,A,,,DC Comics,,Modern,"Feb 20, 2013",Apr 2013,Apr 2013,76194131442600211,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/71/71_320641_0_DjangoUnchained2A.jpg,3670c50284f24a6f94abe29a0ef52f4c,320641,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1946
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,1A,1,A,,,DC Comics,,Modern,"Dec 05, 2012",Feb 2013,Feb 2013,76194131442600111,1,,0.0,4.99,4.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/08/08_320639_0_DjangoUnchained1A.jpg,55057868443a46b098c086771625f52e,320639,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1947
Sci-Fi,Verify then Lot,High,25,0,40,No,1,No,No,No,Yes,"Assumed NM, not verified",Django Unchained,1D,1,D,,3rd Printing,DC Comics,,Modern,"Dec 05, 2012",Mar 2013,Mar 2013,76194131442600112,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Mature; Western,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/5d/5d_352117_0_.jpg,3551ce56e5464d9b98e359aefb11d6ed,352117,47649,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1948
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",FX,6,6,,,,IDW Publishing,,Modern,"Aug 05, 2008",Aug 2008,Aug 2008,82771462462500611,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/94/94_189527_0_FX6.jpg,bd97086f89f34f8a9e70887631ef1c86,189527,20455,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1949
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",FX,5,5,,,,IDW Publishing,,Modern,"Jul 03, 2008",Jul 2008,Jul 2008,82771462462500511,1,,0.0,3.99,3.99,,No,,,,,,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/3b/3b_187266_0_FX5.jpg,c8bf700a58dc45a8b648705f0d7a8e21,187266,20455,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1950
General Inventory,Sell / Lot Candidate,High,0,0,10,No,1,No,No,No,Yes,"Assumed NM, not verified",FX,4,4,,,,IDW Publishing,,Modern,"Jun 03, 2008",Jun 2008,Jun 2008,82771462462500411,1,,0.0,3.99,3.99,,No,,,,,,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/83/83_185804_0_FX4.jpg,13c34a18f6204bd1920b29ea5ea19e23,185804,20455,2021-05-29,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1951
